SKU Code,Shape,Diamond Size(Round) mm,Diamond Count(Round),Diamond Size(Princes) mm,Diamond Count(Princes),Diamond Size(Cushion) mm,Diamond Count(Cushion),Diamond Size(Oval) mm,Diamond Count(Oval),Diamond Size(Emerald) mm,Diamond Count(Emerald),Diamond Size(Radiant) mm,Diamond Count(Radiant),Diamond size (Asscher) mm,Diamond count (Asscher),Diamond Size(Heart) mm,Diamond Count(Heart),Diamond Size(Marquise) mm,Diamond Count(Marquise),Diamond Size(Pear) mm,Diamond Count(Pear),Length,Width,Diamond Wt,Volume,Casting wt.,Reduction,18KT wt.(Gm)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19017(0.50),Radiant,1.25,20.0,,,,,,,,,4.5 * 3.5,1.0,,,,,,,,,21.15,4.63,0.5,194.0,3.0458,0.60916,2.4366399999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19017(1.00),Radiant,1.4,18.0,,,,,,,,,6.5 * 4.5,1.0,,,,,,,,,21.15,6.57,1.09,215.16,3.3780119999999996,0.6756023999999999,2.7024095999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19017(1.50),Radiant,1.4,18.0,,,,,,,,,7.3 * 5.5,1.0,,,,,,,,,21.15,7.3,1.7,227.0,3.5639,0.71278,2.85112
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19017(2.00),Radiant,1.4,18.0,,,,,,,,,7.7 * 5.7,1.0,,,,,,,,,21.15,7.7,1.85,236.42,3.7117939999999994,0.7423587999999999,2.9694351999999995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19018(0.50),Heart,1.25,20.0,,,,,,,,,,,,,4.5,1.0,,,,,21.15,5.41,0.49,192.51,3.0224069999999994,0.6044814,2.4179255999999993
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19018(1.00),Heart,1.4,18.0,,,,,,,,,,,,,6.0,1.0,,,,,21.15,7.06,0.95,213.98,3.3594859999999995,0.6718972,2.6875887999999994
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19018(1.50),Heart,1.4,18.0,,,,,,,,,,,,,7.0,1.0,,,,,21.15,8.12,1.4,223.12,3.5029839999999997,0.7005968,2.8023871999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S R-19018(2.00),Heart,1.4,18.0,,,,,,,,,,,,,7.75,1.0,,,,,21.15,9.08,1.72,235.33,3.694681,0.7389362,2.9557448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
