SKU Code,Diamond Size(mm),Diamond Count,Diamond Size (Cushion),Diamond Count.1,Diamond Size (Princess),Diamond Count.2,Diamond Size (Baguette),Diamond Count.3,Diamond Size (Marquise),Diamond Count.4,Diamond Size (Radiant),Diamond Count.5,Diamond Size (Heart),Diamond Count.6,Diamond Size (Pear),Diamond Count.7,Diamond Size (Emerald),Diamond Count.8,Diamond Size (Oval),Diamond Count.9,Length(mm),Width(mm),Diamond Wt.(Cts),Volume,Casting wt.,0.2,18KT wt.(Gm)
S ER-39(1.50),,,,,,,,,,,,,,,,,6.50 * 4.50,2.0,,,6.79,4.77,1.54,128.34,2.014938,0.4029876,1.6119504
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-39(2.00),,,,,,,,,,,,,,,,,7.00 * 5.00,2.0,,,7.3,5.29,2.12,146.51,2.3002069999999994,0.46004139999999993,1.8401655999999995
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-40(0.50),,,,,,,,,,,,,,,5.50 * 3.50,2.0,,,,,6.46,3.62,0.5,61.06,0.958642,0.19172840000000002,0.7669136
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-40(1.00),,,,,,,,,,,,,,,7.00 * 4.50,2.0,,,,,7.96,4.62,1.16,97.29,1.527453,0.3054906,1.2219624
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-40(1.50),,,,,,,,,,,,,,,8.00 * 5.00,2.0,,,,,9.05,5.16,1.48,108.8,1.70816,0.341632,1.366528
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-40(2.00),,,,,,,,,,,,,,,8.50 * 5.50,2.0,,,,,9.56,5.66,1.9,127.48,2.001436,0.4002872,1.6011488
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-41(0.50),,,,,,,,,,,,,,,,,3.70 * 3.70,2.0,,,3.79,3.79,0.62,66.68,1.046876,0.20937519999999998,0.8375007999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-41(1.00),,,,,,,,,,,,,,,,,4.40 * 4.40,2.0,,,4.58,5.13,1.05,84.23,1.322411,0.2644822,1.0579288
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-41(1.50),,,,,,,,,,,,,,,,,5.00 * 5.00,2.0,,,5.29,,1.56,108.34,1.7009379999999998,0.3401876,1.3607504
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-41(2.00),,,,,,,,,,,,,,,,,5.50 * 5.50,2.0,,,5.82,,2.0,131.78,2.068946,0.4137892,1.6551567999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-42(0.50),,,,,,,,,,,,,4.20 * 4.20,2.0,,,,,,,5.56,4.34,0.53,65.56,1.0292919999999999,0.2058584,0.8234335999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-42(1.00),,,,,,,,,,,,,5.40 * 5.40,2.0,,,,,,,6.97,5.6,1.14,108.96,1.7106719999999997,0.34213439999999995,1.3685375999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-42(1.50),,,,,,,,,,,,,6.00 * 6.00,2.0,,,,,,,7.44,6.27,1.59,114.32,1.7948239999999998,0.3589648,1.4358592
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-42(2.00),,,,,,,,,,,,,6.70 * 6.70,2.0,,,,,,,8.36,7.0,2.15,145.17,2.2791689999999996,0.45583379999999996,1.8233351999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-43(0.50),,,,,,,,,,,3.50 * 3.00,2.0,,,,,,,,,3.61,3.13,0.22,52.11,0.8181269999999999,0.1636254,0.6545015999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-43(1.00),,,,,,,,,,,5.00 * 4.50,2.0,,,,,,,,,5.12,4.64,0.93,87.64,1.375948,0.2751896,1.1007584
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-43(1.50),,,,,,,,,,,5.50 * 5.00,2.0,,,,,,,,,5.67,5.18,1.44,121.92,1.9141439999999998,0.38282879999999997,1.5313151999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-43(2.00),,,,,,,,,,,6.00 * 5.50,2.0,,,,,,,,,6.19,5.71,1.82,144.29,2.2653529999999997,0.4530706,1.8122823999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-44(0.50),,,,,,,,,6.50 * 3.00,2.0,,,,,,,,,,,8.24,3.18,0.38,67.74,1.0635179999999997,0.21270359999999996,0.8508143999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-44(1.00),,,,,,,,,8.50 * 4.00,2.0,,,,,,,,,,,10.32,4.18,0.89,102.49,1.6090929999999999,0.3218186,1.2872743999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-44(1.50),,,,,,,,,9.50 * 4.50,2.0,,,,,,,,,,,11.43,4.68,1.26,110.87,1.740659,0.3481318,1.3925272
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-44(2.00),,,,,,,,,10.50 * 5.00,2.0,,,,,,,,,,,12.6,5.16,1.8,138.14,2.168798,0.43375959999999997,1.7350383999999999
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-45(0.50),0.9,32.0,,,,,,,,,,,,,,,,,,,6.61,,0.47,149.57,2.3482489999999996,0.46964979999999995,1.8785991999999996
,3.7,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-45(1.00),1.1,32.0,,,,,,,,,,,,,,,,,,,,8.08,0.99,222.18,3.4882259999999996,0.6976452,2.7905808
,4.8,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-45(1.50),5.4,2.0,,,,,,,,,,,,,,,,,,,8.8,,1.44,224.95,3.5317149999999997,0.7063429999999999,2.8253719999999998
,1.3,32.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-45(2.00),1.4,32.0,,,,,,,,,,,,,,,,,,,9.6,,1.95,286.5,4.498049999999999,0.8996099999999999,3.598439999999999
,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-46(0.50),0.8,40.0,,,3.10 * 3.10,2.0,,,,,,,,,,,,,,,5.99,,0.44,122.36,1.9210519999999998,0.38421039999999995,1.5368415999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-46(1.00),1.0,40.0,,,4.00 * 4.00,2.0,,,,,,,,,,,,,,,6.97,,0.95,172.26,2.7044819999999996,0.5408963999999999,2.1635855999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-46(1.50),1.2,40.0,,,4.70 * 4.70,2.0,,,,,,,,,,,,,,,8.18,,1.45,247.73,3.8893609999999996,0.7778722,3.1114887999999996
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-46(2.00),1.25,40.0,,,5.10 * 5.10,2.0,,,,,,,,,,,,,,,8.75,,1.96,284.44,4.465707999999999,0.8931415999999999,3.5725663999999995
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-47(0.50),1.0,32.0,,,,,,,,,,,,,,,,,4.50 * 3.10,2.0,5.95,7.74,0.5,139.15,2.184655,0.43693099999999996,1.7477239999999998
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-47(1.00),1.2,32.0,,,,,,,,,,,,,,,,,5.80 * 3.80,2.0,7.09,9.23,0.84,200.82,3.1528739999999997,0.6305748,2.5222992
,,,,,,,,,,,,,,,,,,,,,,,,,,,
S ER-47(1.50),1.4,32.0,,,,,,,,,,,,,,,,,6.49 * 4.50,2.0,8.54,10.76,1.43,294.13,4.617840999999999,0.9235682,3.6942727999999994
,,,,,,,,,,,,,,,,,,,,,,,,,,,
