Style no,18kt Gold wt (gms),Diamond wt (Ct),Round Dimond (mm),Count,Cushion (mm),Count.1,Pear (mm),Count.2,Emerald (mm),Count.3,Princess (mm),Count.4,Oval (mm),Count.5,Trillion (mm),Count.6,Baguette (mm),Count.7,Marquise (mm),Count.8
DOC -  0193,2.67,1.25,1.0,8.0,5.53x5.53,1.0,,,,,,,,,,,,,,
,,,1.6,12.0,,,,,,,,,,,,,,,,
,,,1.3,16.0,,,,,,,,,,,,,,,,
DOC -  0194,4.07,1.6,7.5,1.0,,,,,,,,,,,,,,,,
DOC -  0195,11.58,1.01,6.3,1.0,,,,,,,,,,,,,,,,
DOC -  0196,19.19,2.09,,,,,,,7.8x6.1,1.0,,,,,,,,,,
DOC -  0197,7.26,2.06,6.7,1.0,,,,,,,,,,,,,,,,
,,,1.8,14.0,,,,,,,,,,,,,,,,
,,,1.5,22.0,,,,,,,,,,,,,,,,
,,,2.1,10.0,,,,,,,,,,,,,,,,
DOC -  0198,24.05,0.1,3.0,1.0,,,,,,,,,,,,,,,,
DOC -  0199,2.73,1.19,6.8,1.0,,,,,,,,,,,,,,,,
DOC -  0200,3.73,0.5,1.4,14.0,,,,,,,,,,,,,,,,
,,,4.6,1.0,,,,,,,,,,,,,,,,
