SKU Code,Diamond Size(mm),Diamond Count,Diamond (Baguette),Diamond Count.1,Diamond (Pear),Diamond Count.2,Diamond (Princess),Diamond Count.3,Diamond (Cushion),Diamond Count.4,Diamond (Oval),Diamond Count.5,Diamond (Emerald),Diamond Count.6,Diamond (Heart),Diamond Count.7,Diamond (Radiant),Diamond Count.8,Diamond (Marquise),Diamond Count.9,Length(mm),Width(mm),Diamond Wt,Volume,Casting Gold Wt(18kt),Est.Final Gold Wt(18kt)
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15043 Size 4,,,,,,,,,,,,,,,,,7*6,1.0,,,12.6,6.18,1.45,105.82,1.661374,1.3290992
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15044 Size 1,,,,,,,,,,,,,,,,,,,6.5*3,1.0,11.74,4.51,0.19,39.28,0.616696,0.4933568
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15044 Size 2,,,,,,,,,,,,,,,,,,,8.5*4,1.0,14.04,4.85,0.44,59.55,0.934935,0.747948
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15044 Size 3,,,,,,,,,,,,,,,,,,,10.50*5,1.0,16.64,5.27,0.9,80.97,1.271229,1.0169832
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15044 Size 4,,,,,,,,,,,,,,,,,,,12*6,1.0,18.8,6.15,1.41,103.97,1.632329,1.3058632
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15045 Size 1,4.6,1.0,,,,,,,,,,,,,,,,,,,14.21,7.79,0.47,108.65,1.705805,1.364644
,1.1,22.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15045 Size 2,5.8,1.0,,,,,,,,,,,,,,,,,,,17.14,9.28,0.93,152.97,2.401629,1.9213032
,1.35,22.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15045 Size 3,6.7,1.0,,,,,,,,,,,,,,,,,,,19.73,10.7,1.42,199.59,3.133563,2.5068504
,1.5,22.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15045 Size 4,7.4,1.0,,,,,,,,,,,,,,,,,,,20.79,11.36,1.86,236.86,3.718702,2.9749616
,1.6,22.0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15046 Size 1,1.0,26.0,,,,,4*4,1.0,,,,,,,,,,,,,13.11,6.97,0.5,91.89,1.442673,1.1541384
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15046 Size 2,1.25,26.0,,,,,5.1*5.1,1.0,,,,,,,,,,,,,16.19,8.74,1.02,155.58,2.442606,1.9540848
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15046 Size 3,1.35,26.0,,,,,6*6,1.0,,,,,,,,,,,,,18.22,9.89,1.59,226.17,3.550869,2.8406952
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15046 Size 4,1.5,26.0,,,,,6.6*6.6,1.0,,,,,,,,,,,,,19.52,10.64,2.1,279.49,4.387993,3.5103944
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15047 Size 1,1.1,22.0,,,,,,,,,5.5*3.5,1.0,,,,,,,,,13.12,8.61,0.35,93.04,1.460728,1.1685824
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15047 Size 2,1.35,22.0,,,,,,,,,7*5,1.0,,,,,,,,,16.5,10.47,0.86,155.84,2.446688,1.9573504
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15047 Size 3,1.55,22.0,,,,,,,,,7.7*5.7,1.0,,,,,,,,,18.88,11.63,1.22,200.0,3.14,2.512
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15047 Size 4,1.65,22.0,,,,,,,,,8.5*6.5,1.0,,,,,,,,,20.06,12.37,1.73,240.59,3.777263,3.0218104
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15048 Size 1,1.1,22.0,,,,,,,4.2*4.2,1.0,,,,,,,,,,,13.56,7.17,0.47,93.48,1.467636,1.1741088
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15048 Size 2,1.3,22.0,,,,,,,5.3*5.3,1.0,,,,,,,,,,,16.39,8.63,0.98,142.47,2.236779,1.7894232
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15048 Size 3,1.4,22.0,,,,,,,6*6,1.0,,,,,,,,,,,17.8,9.23,1.35,167.06,2.622842,2.0982736
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15048 Size 4,1.6,22.0,,,,,,,6.6*6.6,1.0,,,,,,,,,,,19.81,10.5,1.81,221.88,3.483516,2.7868128
,,,,,,,,,,,,,,,,,,,,,,,,,,
DOC-PD-15049 Size 1,1.1,24.0,,,,,,,,,,,5.5*3.5,1.0,,,,,,,15.15,6.99,0.49,113.36,1.779752,1.4238016
,,,,,,,,,,,,,,,,,,,,,,,,,,
